School,SIS ID,Class,Test 1 Num Correct,Test 1 Num Correct,Test 2 Num Correct,Test 2 Num Incorrect,Test 3 Num Correct,Test 3 Num Incorrect,PAT Reading 2022,PAT Reading 2022 Band,PAT Maths 2022,PAT Maths 2022 Band,PAT Reading 2021,PAT Reading 2021 Band,PAT Maths 2021,PAT Maths 2021 Band,NAPLAN 2023 Reading Score,NAPLAN 2023 Reading Proficiency,NAPLAN 2023 Writing Score,NAPLAN 2023 Writing Proficiency,NAPLAN 2023 Grammar and Punctuation Score,NAPLAN 2023 Grammar and Punctuation Proficiency,NAPLAN 2023 Spelling Score,NAPLAN 2023 Spelling Proficiency,NAPLAN 2023 Numeracy Score,NAPLAN 2023 Numeracy Proficiency,NAPLAN 2021 Reading Score,NAPLAN 2021 Reading Band,NAPLAN 2021 Writing Score,NAPLAN 2021 Writing Band,NAPLAN 2021 Grammar and Punctuation Score,NAPLAN 2021 Grammar and Punctuation Band,NAPLAN 2021 Spelling Score,NAPLAN 2021 Spelling Band,NAPLAN 2021 Numeracy Score,NAPLAN 2021 Numeracy Band
A,243436169,7ENGA,36,1,41,1,56,2,145.1,140-149,125.5,145-154,135.2,130-139,126,135-144,527.4,Strong,627.2,Exceeding,564.6,Strong,553.9,Strong,533.4,Strong,566.398,Band 7,458.3,Band 5,561.917,Band 7,485.877,Band 6,499.207,Band 6
A,290032256,7ENGA,34,1,39,2,50,0,141.1,140-149,136.4,135-144,141.4,140-149,136,135-144,624.9,Exceeding,547.1,Strong,534.1,Strong,537.8,Strong,589.7,Strong,602.685,Band 8,572.9,Band 7,543.628,Band 7,533.359,Band 7,502.393,Band 6
A,756062536,7ENGA,35,0,34,0,44,1,127.8,120-129,136.3,125-134,130.1,130-139,134.5,125-134,588.5,Strong,520.8,Strong,600.6,Strong,590.2,Strong,589.1,Strong,552.432,Band 7,497.4,Band 6,565.272,Band 7,546.627,Band 7,558.581,Band 7
A,113102969,7ENGA,39,0,32,0,40,0,,,,,,,,,636.6,Exceeding,572.7,Strong,644.2,Exceeding,624.6,Exceeding,576.4,Strong,,,,,,,,,,
A,259377718,7ENGA,43,1,45,1,70,2,,,,,,,,,606.5,Exceeding,520.8,Strong,608.7,Strong,635.2,Exceeding,645.2,Exceeding,,,,,,,,,,
A,929023271,7ENGA,33,0,34,0,38,1,131.9,130-139,145.4,125-134,140.2,140-149,134.9,135-144,615.4,Exceeding,547.1,Strong,704.6,Exceeding,601.4,Exceeding,623,Strong,608.234,Band 8,547.4,Band 7,631.7,Band 8,585.834,Band 8,591.04,Band 8
A,801593489,7ENGA,42,0,43,1,50,0,,,,,,,,,724.7,Exceeding,613.1,Strong,629.7,Exceeding,586.6,Strong,635.1,Exceeding,,,,,,,,,,
A,820475952,7ENGA,,,35,2,58,0,140.8,140-149,141.2,135-144,137.2,130-139,148.5,135-144,564.1,Strong,695.1,Exceeding,668.2,Exceeding,680,Exceeding,637.2,Exceeding,587.692,Band 8,666,Band 9,654.402,Band 9,651.798,Band 9,582.806,Band 8
A,107993446,7ENGE,,,37,3,43,0,124.7,120-129,120.4,115-124,127.8,120-129,120.9,125-134,508,Strong,572.7,Strong,560.7,Strong,669.2,Exceeding,461.9,Developing,517.45,Band 6,547.4,Band 7,494.207,Band 6,545.757,Band 7,436.313,Band 5
A,719720611,7ENGE,23,9,34,4,24,0,133.2,130-139,124.3,125-134,121.5,120-129,111,115-124,459.5,Developing,613.1,Strong,444.7,Developing,648.4,Exceeding,501.9,Strong,533.366,Band 7,484.6,Band 6,495.451,Band 6,615.856,Band 8,442.537,Band 5
A,992090133,7ENGE,29,1,44,2,38,1,125.5,120-129,131,125-134,112.9,110-119,119.6,105-114,476.8,Developing,572.7,Strong,552.4,Strong,527.6,Strong,559.1,Strong,464.366,Band 5,497.4,Band 6,478.824,Band 6,466.453,Band 5,462.476,Band 5
A,255454879,7ENGE,28,3,33,0,34,1,,,,,,,,,498,Developing,559.9,Strong,502.9,Developing,623.4,Exceeding,596.7,Strong,,,,,,,,,,
A,541623303,7ENGE,8,0,18,0,16,1,,,,,,,,,527.5,Strong,492,Developing,440.2,Needs additional support,536.9,Strong,558.3,Strong,,,,,,,,,,
A,988283608,7ENGE,27,1,28,2,40,0,128,120-129,136.8,125-134,121.5,120-129,118.3,115-124,480.5,Developing,547.1,Strong,473.9,Developing,552.8,Strong,538.1,Strong,462.048,Band 5,547.4,Band 7,478.824,Band 6,470.062,Band 5,472.209,Band 5
A,149408746,7ENGE,31,2,22,1,38,1,127.1,120-129,120.4,125-134,119.5,110-119,119.6,115-124,488.6,Developing,492,Developing,562.2,Strong,569.9,Strong,500.8,Strong,454.529,Band 5,458.3,Band 5,481.173,Band 6,512.642,Band 6,452.06,Band 5
A,933069012,7ENGE,,,28,0,42,0,136.8,130-139,121.5,135-144,123.5,120-129,115.6,115-124,564.6,Strong,585.8,Strong,563.7,Strong,546.4,Strong,501.4,Strong,515.691,Band 6,458.3,Band 5,543.512,Band 7,536.436,Band 7,475.84,Band 5
A,751953703,7ENGE,32,4,15,4,29,3,115.1,110-119,127.8,115-124,111.6,110-119,122.2,105-114,443.3,Developing,476.5,Developing,454.9,Developing,504.4,Strong,508.5,Strong,392.248,Band 4,484.6,Band 6,477.388,Band 5,478.693,Band 6,432.672,Band 5
A,857970803,7ENGE,30,0,31,2,39,1,133.2,130-139,118.9,125-134,127.8,120-129,114.1,125-134,550.3,Strong,492,Developing,564.5,Strong,485.1,Developing,507.4,Strong,512.605,Band 6,416.3,Band 4,482.114,Band 6,495.34,Band 6,490.659,Band 6
A,682490662,7ENGE,30,1,34,1,20,0,121,120-129,134.4,115-124,123.5,120-129,137.3,115-124,514.7,Strong,585.8,Strong,602,Strong,581.6,Strong,567.3,Strong,511.799,Band 6,597.5,Band 8,585.034,Band 8,570.503,Band 7,582.594,Band 8
A,509749307,7ENGE,27,2,31,3,43,2,127.8,120-129,137.3,125-134,132.6,130-139,120.9,125-134,525,Strong,NULL,UNKNOWN,565.4,Strong,553.3,Strong,583.6,Strong,526.218,Band 6,547.4,Band 7,529.081,Band 6,514.536,Band 6,502.405,Band 6
A,876337281,7ENGE,24,1,30,1,,,136.3,130-139,127.8,135-144,132.6,130-139,122.2,125-134,518.7,Strong,641.2,Exceeding,580.3,Strong,576.8,Strong,484,Developing,515.661,Band 6,510,Band 6,528.001,Band 6,552.159,Band 7,502.405,Band 6
A,901643212,7ENGE,25,2,27,2,25,3,124.9,120-129,117.8,115-124,123.5,120-129,112.6,115-124,510,Strong,520.8,Strong,523.1,Strong,530,Strong,477.9,Developing,481.339,Band 6,430.8,Band 5,431.272,Band 5,539.645,Band 7,450.212,Band 5
A,678138153,7ENGE,31,1,29,0,44,1,131,130-139,125.5,125-134,125.7,120-129,115.6,125-134,576,Strong,655.1,Exceeding,580.4,Strong,609.8,Exceeding,516.5,Strong,519.011,Band 6,560.2,Band 7,533.758,Band 7,584.003,Band 8,459.331,Band 5
A,115064907,7ENGE,24,3,21,2,16,0,124.9,120-129,124.1,115-124,127.8,120-129,123.5,125-134,564.1,Strong,412.4,Needs additional support,503.6,Developing,547.2,Strong,537.7,Strong,510.369,Band 6,497.4,Band 6,497.796,Band 6,522.822,Band 6,468.954,Band 5
A,252087642,7ENGE,18,2,25,1,,,129.4,120-129,125.4,125-134,98,90-99,119.6,95-104,464.2,Developing,476.5,Developing,517.2,Strong,501.6,Strong,520.4,Strong,468.577,Band 5,471.6,Band 5,482.114,Band 6,495.462,Band 6,490.659,Band 6
A,986064527,7ENGE,28,2,19,1,27,1,,,,,,,,,495.8,Developing,559.9,Strong,437.5,Needs additional support,512.7,Strong,482.8,Developing,,,,,,,,,,
A,729323181,7ENGE,11,2,16,0,20,2,115.8,110-119,129.8,115-124,115.5,110-119,127.3,115-124,500.5,Strong,362.8,Needs additional support,524.2,Strong,401.7,Needs additional support,554,Strong,458.657,Band 5,458.3,Band 5,444.418,Band 5,387.987,Band 4,537.771,Band 7
A,791654083,7ENGE,25,0,17,3,26,0,134.9,130-139,124.7,125-134,130.1,130-139,126,125-134,480.6,Developing,476.5,Developing,531.6,Strong,501.7,Strong,504.6,Strong,502.526,Band 6,444.8,Band 5,476.187,Band 5,457.305,Band 5,490.659,Band 6
A,799390795,7ENGE,24,3,33,2,40,0,,,,,,,,,504.2,Strong,506.7,Developing,505.7,Developing,509.3,Strong,447,Developing,,,,,,,,,,
A,286462229,7ENGE,26,1,21,1,27,2,124.6,120-129,133.6,115-124,121.5,120-129,128.7,115-124,536.5,Strong,520.8,Strong,653.7,Exceeding,589.4,Strong,589.2,Strong,512.154,Band 6,522.5,Band 6,506.98,Band 6,545.756,Band 7,474.201,Band 5
A,333064436,7ENGE,47,2,36,2,44,6,,,,,,,,,534.8,Strong,585.8,Strong,549.6,Strong,562.4,Strong,503.9,Strong,,,,,,,,,,
A,679163433,7ENGE,11,1,12,0,25,0,119,110-119,122.7,115-124,109.5,100-109,118.3,105-114,439.6,Developing,476.5,Developing,591.4,Strong,492.2,Developing,495.4,Developing,470.073,Band 5,372.2,Band 3,457.065,Band 5,427.915,Band 5,414.27,Band 4
A,831144863,7ENGE,35,2,34,1,42,1,116.7,110-119,129,115-124,119.5,110-119,123.5,115-124,510.4,Strong,627.2,Exceeding,478,Developing,532.4,Strong,481.3,Developing,501.565,Band 6,484.6,Band 6,434.477,Band 5,526.173,Band 6,526.376,Band 6
A,929353933,7ENGE,,,22,0,19,1,115.8,110-119,123,115-124,105.3,100-109,124.8,105-114,483.4,Developing,492,Developing,470.7,Developing,463.2,Developing,526.7,Strong,432.506,Band 5,458.3,Band 5,435.433,Band 5,437.241,Band 5,472.209,Band 5
A,807708671,7ENGE,22,3,21,5,42,4,127.8,120-129,133,125-134,126.4,120-129,130,125-134,529,Strong,520.8,Strong,564.9,Strong,528.7,Strong,588.4,Strong,479.085,Band 6,522.5,Band 6,478.824,Band 6,505.032,Band 6,526.376,Band 6
